Path,Line Coverage,Function Coverage,Region Coverage
src/git/bulk-checkin.c,0.00% (0/178),0.00% (0/8),0.00% (0/133)
src/git/bundle.c,0.00% (0/390),0.00% (0/15),0.00% (0/311)
src/git/cache-tree.c,0.81% (5/620),3.45% (1/29),0.64% (3/471)
src/git/cache-tree.h,0.00% (0/8),0.00% (0/2),0.00% (0/4)
src/git/cache.h,3.53% (3/85),7.69% (1/13),6.17% (5/81)
src/git/cbtree.c,0.00% (0/115),0.00% (0/7),0.00% (0/71)
src/git/cbtree.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/git/chdir-notify.c,0.00% (0/54),0.00% (0/5),0.00% (0/38)
src/git/checkout.c,0.00% (0/24),0.00% (0/1),0.00% (0/12)
src/git/chunk-format.c,64.08% (66/103),66.67% (6/9),63.10% (53/84)
src/git/color.c,0.00% (0/305),0.00% (0/19),0.00% (0/276)
src/git/column.c,0.00% (0/208),0.00% (0/14),0.00% (0/195)
src/git/column.h,0.00% (0/3),0.00% (0/1),0.00% (0/3)
src/git/combine-diff.c,0.00% (0/1112),0.00% (0/35),0.00% (0/889)
src/git/commit-graph.c,8.15% (142/1742),11.90% (10/84),8.17% (94/1150)
src/git/commit-reach.c,0.00% (0/634),0.00% (0/26),0.00% (0/521)
src/git/commit-slab-impl.h,31.34% (21/67),42.86% (3/7),21.95% (9/41)
src/git/commit.c,0.78% (9/1161),2.47% (2/81),0.24% (2/850)
src/git/commit.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/git/compat/bswap.h,17.91% (12/67),22.22% (2/9),13.33% (2/15)
src/git/compat/compiler.h,0.00% (0/15),0.00% (0/2),0.00% (0/6)
src/git/compat/fopen.c,0.00% (0/18),0.00% (0/1),0.00% (0/14)
src/git/compat/qsort_s.c,0.00% (0/46),0.00% (0/2),0.00% (0/25)
src/git/compat/simple-ipc/ipc-shared.c,0.00% (0/11),0.00% (0/1),0.00% (0/4)
src/git/compat/simple-ipc/ipc-unix-socket.c,0.00% (0/471),0.00% (0/23),0.00% (0/258)
src/git/compat/strlcpy.c,0.00% (0/9),0.00% (0/1),0.00% (0/5)
src/git/compat/terminal.c,0.00% (0/135),0.00% (0/9),0.00% (0/82)
src/git/config.c,10.65% (224/2104),17.45% (26/149),9.12% (151/1656)
