Path,Line Coverage,Function Coverage,Region Coverage
src/irssi/subprojects/glib-2.58.3/glib/gmem.h,0.00% (0/9),0.00% (0/1),0.00% (0/1)
src/irssi/subprojects/glib-2.58.3/glib/gmessages.c,0.74% (9/1212),1.96% (1/51),0.10% (1/1017)
src/irssi/subprojects/glib-2.58.3/glib/goption.c,11.37% (149/1311),23.53% (12/51),12.95% (214/1653)
src/irssi/subprojects/glib-2.58.3/glib/gpattern.c,0.00% (0/186),0.00% (0/6),0.00% (0/292)
src/irssi/subprojects/glib-2.58.3/glib/gpoll.c,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/irssi/subprojects/glib-2.58.3/glib/gprintf.c,12.07% (7/58),11.11% (1/9),11.59% (16/138)
src/irssi/subprojects/glib-2.58.3/glib/gqsort.c,0.00% (0/192),0.00% (0/3),0.00% (0/88)
src/irssi/subprojects/glib-2.58.3/glib/gquark.c,6.86% (7/102),8.33% (1/12),19.70% (26/132)
src/irssi/subprojects/glib-2.58.3/glib/gquark.h,0.00% (0/9),0.00% (0/1),0.00% (0/9)
src/irssi/subprojects/glib-2.58.3/glib/gqueue.c,0.00% (0/354),0.00% (0/40),0.00% (0/1042)
src/irssi/subprojects/glib-2.58.3/glib/grand.c,0.00% (0/241),0.00% (0/17),0.00% (0/351)
src/irssi/subprojects/glib-2.58.3/glib/grcbox.c,0.00% (0/85),0.00% (0/8),0.00% (0/224)
src/irssi/subprojects/glib-2.58.3/glib/grefcount.c,22.95% (14/61),37.50% (3/8),29.24% (88/301)
src/irssi/subprojects/glib-2.58.3/glib/grefstring.c,0.00% (0/66),0.00% (0/8),0.00% (0/155)
src/irssi/subprojects/glib-2.58.3/glib/gregex.c,0.00% (0/1415),0.00% (0/52),0.00% (0/2081)
src/irssi/subprojects/glib-2.58.3/glib/gscanner.c,27.97% (356/1273),36.36% (12/33),21.51% (300/1395)
src/irssi/subprojects/glib-2.58.3/glib/gsequence.c,2.35% (17/722),2.99% (2/67),1.18% (16/1355)
src/irssi/subprojects/glib-2.58.3/glib/gshell.c,0.00% (0/332),0.00% (0/7),0.00% (0/419)
src/irssi/subprojects/glib-2.58.3/glib/gslice.c,44.92% (371/826),62.22% (28/45),44.09% (358/812)
src/irssi/subprojects/glib-2.58.3/glib/gslist.c,22.13% (81/366),32.35% (11/34),20.52% (55/268)
src/irssi/subprojects/glib-2.58.3/glib/gspawn-private.h,0.00% (0/67),0.00% (0/1),0.00% (0/17)
src/irssi/subprojects/glib-2.58.3/glib/gspawn.c,0.00% (0/917),0.00% (0/24),0.00% (0/818)
src/irssi/subprojects/glib-2.58.3/glib/gstdio.c,0.00% (0/80),0.00% (0/16),0.00% (0/44)
src/irssi/subprojects/glib-2.58.3/glib/gstrfuncs.c,17.21% (186/1081),26.67% (16/60),15.83% (285/1800)
src/irssi/subprojects/glib-2.58.3/glib/gstring.c,22.42% (100/446),28.95% (11/38),18.79% (149/793)
src/irssi/subprojects/glib-2.58.3/glib/gstring.h,100.00% (10/10),100.00% (1/1),100.00% (4/4)
src/irssi/subprojects/glib-2.58.3/glib/gtestutils.c,0.40% (5/1243),1.30% (1/77),0.29% (5/1710)
src/irssi/subprojects/glib-2.58.3/glib/gthread-posix.c,29.38% (99/337),28.57% (14/49),31.53% (140/444)
src/irssi/subprojects/glib-2.58.3/glib/gthread.c,17.81% (26/146),14.29% (2/14),25.65% (59/230)
src/irssi/subprojects/glib-2.58.3/glib/gthread.h,0.00% (0/7),0.00% (0/2),0.00% (0/2)
src/irssi/subprojects/glib-2.58.3/glib/gtimer.c,0.00% (0/235),0.00% (0/12),0.00% (0/360)
src/irssi/subprojects/glib-2.58.3/glib/gtranslit.c,0.00% (0/193),0.00% (0/9),0.00% (0/150)
src/irssi/subprojects/glib-2.58.3/glib/gtree.c,51.66% (327/633),53.12% (17/32),45.72% (379/829)
