Path,Line Coverage,Function Coverage,Region Coverage
src/irssi/src/irc/core/irc-core.c,65.38% (51/78),42.86% (3/7),81.08% (30/37)
src/irssi/src/irc/core/irc-expandos.c,30.51% (36/118),18.18% (2/11),17.54% (20/114)
src/irssi/src/irc/core/irc-masks.c,0.00% (0/45),0.00% (0/2),0.00% (0/48)
src/irssi/src/irc/core/irc-nicklist.c,48.52% (213/439),70.37% (19/27),50.18% (420/837)
src/irssi/src/irc/core/irc-queries.c,52.63% (30/57),57.14% (4/7),64.44% (58/90)
src/irssi/src/irc/core/irc-servers-reconnect.c,31.88% (22/69),57.14% (4/7),33.33% (42/126)
src/irssi/src/irc/core/irc-servers-setup.c,31.36% (53/169),33.33% (3/9),19.93% (55/276)
src/irssi/src/irc/core/irc-servers.c,41.97% (366/872),56.52% (26/46),40.77% (539/1322)
src/irssi/src/irc/core/irc-session.c,7.89% (12/152),25.00% (2/8),15.13% (18/119)
src/irssi/src/irc/core/irc.c,63.17% (247/391),76.19% (16/21),56.01% (312/557)
src/irssi/src/irc/core/lag.c,20.27% (15/74),28.57% (2/7),28.85% (30/104)
src/irssi/src/irc/core/massjoin.c,27.73% (61/220),46.15% (6/13),31.76% (108/340)
src/irssi/src/irc/core/mode-lists.c,14.67% (11/75),33.33% (3/9),8.13% (17/209)
src/irssi/src/irc/core/modes.c,23.40% (146/624),33.33% (12/36),19.76% (247/1250)
src/irssi/src/irc/core/netsplit.c,30.08% (77/256),42.11% (8/19),29.13% (164/563)
src/irssi/src/irc/core/sasl.c,48.45% (94/194),66.67% (10/15),61.33% (111/181)
src/irssi/src/irc/core/servers-idle.c,7.14% (10/140),15.38% (2/13),10.89% (27/248)
src/irssi/src/irc/core/servers-redirect.c,65.32% (339/519),73.91% (17/23),53.66% (271/505)
src/irssi/src/irc/dcc/dcc-autoget.c,18.18% (8/44),33.33% (1/3),22.58% (14/62)
src/irssi/src/irc/dcc/dcc-chat.c,6.75% (38/563),10.00% (3/30),9.63% (106/1101)
src/irssi/src/irc/dcc/dcc-get.c,2.22% (9/405),5.56% (1/18),4.52% (16/354)
src/irssi/src/irc/dcc/dcc-queue.c,3.39% (4/118),7.69% (1/13),1.96% (4/204)
src/irssi/src/irc/dcc/dcc-resume.c,3.31% (5/151),10.00% (1/10),5.78% (10/173)
src/irssi/src/irc/dcc/dcc-send.c,3.19% (10/313),7.69% (1/13),5.82% (16/275)
src/irssi/src/irc/dcc/dcc-server.c,2.68% (7/261),7.14% (1/14),2.73% (13/476)
src/irssi/src/irc/dcc/dcc.c,14.71% (55/374),25.93% (7/27),20.79% (105/505)
src/irssi/src/irc/flood/autoignore.c,12.20% (5/41),20.00% (1/5),15.09% (8/53)
src/irssi/src/irc/flood/flood.c,30.33% (64/211),53.85% (7/13),42.16% (199/472)
src/irssi/src/irc/irc.c,50.00% (1/2),50.00% (1/2),50.00% (1/2)
src/irssi/src/irc/notifylist/notify-commands.c,14.29% (5/35),25.00% (1/4),10.34% (9/87)
src/irssi/src/irc/notifylist/notify-ison.c,10.38% (22/212),18.75% (3/16),9.09% (18/198)
src/irssi/src/irc/notifylist/notify-setup.c,18.92% (7/37),33.33% (1/3),9.09% (4/44)
src/irssi/src/irc/notifylist/notify-whois.c,8.99% (8/89),16.67% (1/6),7.52% (10/133)
src/irssi/src/irc/notifylist/notifylist.c,30.36% (68/224),47.37% (9/19),24.83% (108/435)
src/irssi/src/lib-config/get.c,53.25% (123/231),60.00% (9/15),48.30% (241/499)
src/irssi/src/lib-config/parse.c,75.43% (175/232),81.25% (13/16),68.11% (267/392)
src/irssi/src/lib-config/set.c,60.91% (67/110),41.67% (5/12),51.53% (152/295)
src/irssi/src/lib-config/write.c,0.00% (0/269),0.00% (0/11),0.00% (0/530)
src/irssi/subprojects/glib-2.58.3/glib/garcbox.c,63.46% (33/52),42.86% (3/7),50.25% (101/201)
src/irssi/subprojects/glib-2.58.3/glib/garray.c,2.48% (14/565),3.33% (2/60),0.29% (4/1403)
src/irssi/subprojects/glib-2.58.3/glib/gbase64.c,25.14% (45/179),16.67% (1/6),19.42% (74/381)
src/irssi/subprojects/glib-2.58.3/glib/gbitlock.c,27.47% (25/91),22.22% (2/9),29.41% (45/153)
src/irssi/subprojects/glib-2.58.3/glib/gbytes.c,0.00% (0/125),0.00% (0/15),0.00% (0/426)
src/irssi/subprojects/glib-2.58.3/glib/gcharset.c,16.38% (38/232),15.38% (2/13),16.93% (43/254)
src/irssi/subprojects/glib-2.58.3/glib/gconvert.c,22.25% (170/764),29.03% (9/31),27.32% (197/721)
src/irssi/subprojects/glib-2.58.3/glib/gdataset.c,4.43% (20/451),16.67% (4/24),7.19% (63/876)
src/irssi/subprojects/glib-2.58.3/glib/genviron.c,4.44% (4/90),11.11% (1/9),4.97% (15/302)
